source_record_id,carrier_id,carrier_name,transport_mode,primary_service_level,active_status,effective_start_date,effective_end_date
CARREC00001,C001,Aster Freight,ROAD,STANDARD,ACTIVE,2024-01-01,2099-12-31
CARREC00002,C002,BlueArc Logistics,ROAD,EXPRESS,ACTIVE,2024-01-01,2099-12-31
CARREC00003,C003,Cobalt Cargo,AIR,PRIORITY,ACTIVE,2024-01-01,2099-12-31
CARREC00004,C004,DeltaLine Transport,RAIL,STANDARD,ACTIVE,2024-01-01,2099-12-31
CARREC00005,C005,EmberRoute Express,AIR,EXPRESS,ACTIVE,2024-01-01,2099-12-31
CARREC00006,C006,Falcon Surface,ROAD,PRIORITY,ACTIVE,2024-01-01,2099-12-31
CARREC00007,C007,GreenSpan Carriers,ROAD,STANDARD,ACTIVE,2024-01-01,2099-12-31
CARREC00008,C008,HarborLink Cargo,RAIL,EXPRESS,ACTIVE,2024-01-01,2099-12-31
CARREC00009,C009,IndigoTrail Logistics,AIR,STANDARD,ACTIVE,2024-01-01,2099-12-31
CARREC00010,C010,Legacy Carrier,ROAD,STANDARD,INACTIVE,2023-01-01,2025-12-31
